ID,Text Blocks,Goal Score
1,Achieve net-zero emissions across our value chain by 2040,0.9902347326278687
2,Achieve and sustain 50% women in management roles,0.9901800155639648
3,"Design 100% of packaging to be recyclable, compostable, biodegradable or reusable by 2025",0.9901720881462097
4,Achieve 10% Black representation in U.S. managerial populations,0.989998996257782
5,Achieve 10% Hispanic representation in U.S. managerial populations,0.989643931388855
6,"Spread the adoption of regenerative agriculture practices across 7 million acres, approximately equal to 100% of the land used around the world to grow our crops and ingredients for our products",0.9894653558731079
7,"Design 100% of packaging tobe recyclable, compostable,biodegradable or reusable by 20251",0.9893564581871033
8,Reduce saturated fats: ≥ 75% of convenient foods portfolio volume will not exceed 1.1 grams of saturated fat per 100 Calories,0.9893213510513306
9,Extend the principles of our Supplier Code of Conduct to all of our franchisees and joint ventures by 2025,0.9892432689666748
10,Bring safe water access and sanitation to >68 million people since 2006,0.9886081218719482
11,"Continue to adopt the Alliance for Water Stewardship (AWS) Standard in high water-risk manufacturing areas, by 2025, as a vehicle for water advocacy",0.9884325861930847
12,Invest to increase recycling rates in key markets by 20251,0.9882972836494446
13,Reduce sodium: ≥ 75% of convenient foods portfolio volume will not exceed 1.3 milligrams of sodium per Calorie,0.9882857799530029
14,"Advocate for and contribute to a measurable improvement in the health of high water-risk watersheds where we directly source our crops, including an improvement in water-use efficiency of 15% by 20252",0.9882842302322388
15,Achieve and sustain pay equity for our global professional population by maintaining a comprehensive global pay equity review process,0.9881808757781982
16,Expand our portfolio to provide more consumer choice with products that are better for planet or people,0.9878892302513123
17,brands to 100% rPET packaging by 2022,0.9878697991371155
18,Develop and deploy disruptive sustainable packaging materials and new models for convenient foods and beverages,0.9878038167953491
19,"Advocate for and contribute to a measurable improvement in the health of high water-risk watersheds where we directly source our crops, including an improvement in water-use efﬁciency of 15% by 20251",0.9877676367759705
20,Invest to increase recycling rates in key markets by 2025,0.9867925643920898
21,Use of market-leading bio-based materials and increase incorporation of recycled content (50% across plastics),0.9860795140266418
22,Increase collection rate through Every Bottle Back,0.9860317707061768
23,"1st demonstration farm opens in India; in 2021, 72 farms are testing and sharing best practices around the world",0.9849386215209961
24,Explore biodegradable and compostable options,0.9847265481948853
25,Reduce added sugars: ≥ 67% of beverage portfolio volume will have ≤100 Calories from added sugars per 12oz.,0.9845257997512817
26,3 All best-in-class and world-class results for 2021 do not reflect inclusion of third-party facilities,0.9843252897262573
27,Minimize single-use packaging materials goal,0.984081506729126
28,"PepsiCo acquires SodaStream, #1 sparkling water brand in the world by volume, with the potential to avoid 200 billion single-use plastic bottles by 2030",0.9836904406547546
29,Expand market for reusable solutions,0.9835216999053955
30,Reach 100 million people with safe water access2,0.9834582805633545
31,"gain insight into potential risks in our direct operations, and planning to further scale this initiative within other operations in 2022",0.9832842946052551
32,Invest in recycling infrastructure upgrades,0.9832199215888977
33,Continue to strive for an injury-free work environment,0.9830689430236816
34,"PepsiCo sets an ambitious new target to achieve net-zero emissions by 2040, one decade earlier than called for in the Paris Agreement",0.9829839468002319
35,"Reduce virgin material use, increase recycled materials like rPET and use low-carbon alternatives or renewable materials",0.9825138449668884
36,Naked Juice first U.S. brand to transition to 100% rPET bottles,0.9817041754722595
37,"In early 2022, PepsiCo Europe set a new ambition to use 100% recycled or renewable plastic in all crisp and chip packets by 2030, which is expected to reduce GHG emissions from film packaging for food by up to 40%.",0.9816712737083435
38,Reduce saturated fats: ≥ 75% of convenient foods portfolio volume will not exceed 1.1 grams of saturated fat per 100 Calories7,0.9810906052589417
39,"PepsiCo announces a 2030 goal to spread regenerative agriculture practices across 7 million acres, estimated to eliminate at least 3 million tons of GHGs",0.980595052242279
40,Support community efforts to expand access to recycling,0.9791790246963501
41,"Sustainable Farming Program (SFP) launches; as of 2021, more than 90% of grower-sourced crops are sustainably sourced worldwide through SFP",0.9786491990089417
42,Increase crop yields by growing more food on the same amount of land,0.9759156703948975
43,"Continue to help address inequalities for historically marginalized people, and underserved businesses and communities",0.9753422737121582
44,increase incorporation of recycled content(50% across plastics)4,0.9725034832954407
45,Promote fair and safe working conditions for all by advancing respect for human rights everywhere we operate and throughout our business activities,0.970319390296936
46,PepsiCo achieves shift to 100% renewable electricity in U.S. direct operations,0.9698122143745422
47,Reduce sodium: ≥ 75% of convenient foods portfolio volume will not exceed 1.3 milligrams of sodiumper Calorie7,0.9695415496826172
48,Invested more than $71 million globally in COVID relief and worked with over 250 partners to bring food and other vital resources to the most affected communities as of 2021,0.968927264213562
49,Introduce water efficiency techniques,0.9671124815940857
50,"Improve the livelihoods of more than 250,000 people  in our agricultural supply chain and communities, including  by economically empowering women",0.9659788608551025
51,Invent low or no packaging solutions,0.9658348560333252
52,"PepsiCo exceeds safe water access goal 5 years early, delivering access to safe water to more than 55 million people to date since 2006",0.9644379615783691
53,"PepsiCo will cover 100% of tuition costs, books and fees for a wide variety of education programs within the debt-free catalog.",0.9612351655960083
54,"Leverage our scaled brands to embody and amplify positive outcomes for the planet and people, including empowering consumers with transparent environmental labeling on our  key products",0.9607886075973511
55,Achieve net-zero emissions by 2040.,0.9604431986808777
56,Gatorade Zero with protein,0.96037358045578
57,"segments of our external value chain (e.g., contract labor providers) and evaluating additional areas for expansion in 2022 (e.g., transportation  and logistics)",0.9585115313529968
58,Empower our associates with the resources and time needed to cultivate prosperity in our communities,0.9552758932113647
59,Reduce added sugars: ≥ 67% of beverage portfolio volume will have ≤ 100 Calories from added sugars per 12oz. serving1,0.95447838306427
60,by 2030 through SodaStream adoption,0.9484130144119263
61,"Develop plastics from non-food, plant-based sources",0.9448418021202087
