Image Name,BLIP Caption,Goal_1,Goal_2,Goal_3,Goal_4,TF-IDF_Goal_1,TF-IDF_Goal_2,TF-IDF_Goal_3,TF-IDF_Goal_4,SBERT_Goal_1,SBERT_Goal_2,SBERT_Goal_3,SBERT_Goal_4,Image-Goal_1,Image-Goal_2,Image-Goal_3,Image-Goal_4,Goal 1 Label,Goal 2 Label,Goal 3 Label,Goal 4 Label
0.jpg,a person holding a plant in their hands,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0718860175381171,0.0,0.0044059046,-0.06606478,-0.08333062,-0.036375396,0.188720703125,0.2054443359375,0.2274169921875,0.185791015625,0,0,0,0
1.jpg,a woman sitting at a table with her colleagues,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,0.028285695,0.071979,0.07944462,0.04146383,0.2210693359375,0.2252197265625,0.241943359375,0.216064453125,0,0,0,0
2.jpg,solar panels on a roof,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,-0.08949046,-0.014681188,-0.032545805,-0.048991412,0.2078857421875,0.2257080078125,0.25146484375,0.2271728515625,0,0,0,0
3.jpg,a man and woman sitting on a couch talking,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0431317446784917,0.0607752101386541,0.0,0.126565351775909,-0.009376135,-0.017079294,-0.0010185819,-0.008847335,0.1912841796875,0.2022705078125,0.21875,0.2049560546875,0,0,0,0
4.jpg,a woman standing on top of a building,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0659036634061767,0.0,0.0501916297435038,0.0,6.596325e-06,0.07516972,-0.054086275,-0.07742767,0.1961669921875,0.2117919921875,0.2117919921875,0.18115234375,0,0,0,0
5.jpg,a man in a suit sitting at a table,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0718860175381171,0.0,-0.013552656,-0.016347107,-0.00844398,0.043939885,0.22021484375,0.225830078125,0.236572265625,0.21533203125,0,0,0,0
6.jpg,a woman sitting at a table with two other people,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,-0.0065947827,-0.03245318,-0.00054369494,0.0061472496,0.2239990234375,0.22705078125,0.24365234375,0.216552734375,0,0,0,0
7.jpg,"bill gates, ceo of the apple inc",Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0605785350491208,0.0,0.04613606049257,0.0,0.14907643,0.10581648,0.15513924,0.13396809,0.1900634765625,0.23486328125,0.21630859375,0.21142578125,0,0,0,0
8.png,the logo for the new york,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0446187075138388,0.07032136,0.050266944,0.010884732,0.054595597,0.2220458984375,0.2083740234375,0.2100830078125,0.178955078125,0,0,0,0
9.jpg,a tall building with many windows and a sky background,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0400763181159835,0.0564699312127994,0.0,0.1175995392266629,-0.0062977094,0.033103913,0.006526864,-0.04253384,0.2005615234375,0.22900390625,0.2108154296875,0.185791015625,0,0,0,0
10.jpg,the logo for the euro money awards,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0419606933154603,0.086129725,0.09399408,0.10567664,0.11960903,0.205322265625,0.2452392578125,0.25732421875,0.23828125,0,0,0,0
11.jpg,the bank investment awards,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,0.14249593,0.20469603,0.179211,0.14969543,0.178466796875,0.2301025390625,0.1917724609375,0.1959228515625,0,0,0,0
12.png,finance finance finance finance finance finance finance finance finance finance finance finance finance finance finance finance finance finance finance,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,0.13351798,0.14382412,0.05783201,-0.040582985,0.22265625,0.2384033203125,0.26708984375,0.2314453125,0,0,0,0
13.jpg,cit panel discussion at the 2019 conference,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.04613606049257,0.0334004682969803,0.123323604,0.1607978,0.31809434,0.25113055,0.15673828125,0.224365234375,0.2119140625,0.2037353515625,1,0,1,0
14.jpg,solar panels on a roof,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,-0.08949046,-0.014681188,-0.032545805,-0.048991412,0.208984375,0.2210693359375,0.2244873046875,0.204833984375,0,0,0,0
15.jpg,a man standing on top of a roof,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0659036634061767,0.0,0.0501916297435038,0.0,-0.06285962,0.018635944,-0.065151855,-0.10343467,0.209716796875,0.22021484375,0.247314453125,0.2266845703125,0,0,0,0
16.jpg,a group of men sitting around a table talking,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0605785350491208,0.0,0.04613606049257,0.0,0.0067590643,0.021815805,0.0630368,-0.011680514,0.21923828125,0.2352294921875,0.2318115234375,0.2198486328125,0,0,0,0
17.jpg,a large ship is being loaded at the dock,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,0.024237983,0.02027699,0.009706324,0.1563367,0.2274169921875,0.234375,0.2412109375,0.25,0,0,0,0
18.jpg,a man in a suit and tie standing at a podium,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0410678807713485,0.0578671023496187,0.0647351167233068,0.1205091705717336,0.00066884793,0.07469928,0.0369043,-0.020737443,0.183837890625,0.23095703125,0.218505859375,0.220703125,0,0,0,0
19.jpg,a man riding a bike down a street,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0,0.0,0.0,0.0,-0.023103025,-0.0047569945,-0.08013617,-0.030185092,0.1866455078125,0.210693359375,0.205078125,0.2052001953125,0,0,0,0
20.jpg,a view of the city from a hill,Update Statement of Supplier Principles and disseminate it to all suppliers.,Monitor emerging risks and trends,Achieve 100% of suppliers to respond to Corporate Responsibility Questionnaire (CRQ) in all regions by 2019,"Finalize and implement supply chain policies for paper and paper products, IT and e-waste disposal and travel and logistics by 2019.",0.0659036634061767,0.0,0.0501916297435038,0.0,-0.071704894,0.0467069,-0.03911147,-0.028647805,0.206298828125,0.212646484375,0.212646484375,0.2142333984375,0,0,0,0
