ID,Text Blocks,Goal Score
1,Maintain ISO 50001 energy management system certification for Google-owned data centers  that meet certain operational milestones.,0.9870671629905701
2,"In 2020, our global landfill diversion rate for data center operations was 81%.",0.9867987036705017
3,Achieve UL 2799 Zero Waste to Landfill certification  at all final assembly consumer hardware manufacturing sites by 2022.,0.9823840856552124
4,replenish more water than we consume by 2030 and to support water security,0.9811213612556458
5,Achieve carbon neutrality for 100% of shipments  of Made by Google products to and from Google’s direct customers by 2020.,0.9803611040115356
6,Publish product environmental reports for 100%  of flagship consumer hardware products launching  in 2020 and beyond.,0.9762426614761353
7,Achieve Zero Waste to Landfill for our global data center operations.,0.9761496186256409
8,Include recycled materials in 100% of Made by Google products launching in 2022 and every year after.,0.9703726768493652
9,"Replenish 120% of the water we consume, on  average, across our offices and data centers.",0.9696532487869263
10,Pursue the ILFI Living Building Challenge Certification for our Charleston East and Bay View campuses— two of Google’s first ground-up development  projects at our Bay Area headquarters.,0.9663454294204712
11,"In 2020, we expanded our take-back program to all 32 countries where we ship Made by Google products, allowing customers to responsibly recycle old and unused devices  for free—whether made by  Google or not.",0.9613568782806396
12,Achieve net-zero emissions across all of our  operations and value chain by 2030.,0.9555483460426331
13,Maintain or improve average annual fleet-wide  PUE across Google data centers year over year.,0.9532914161682129
14,"By the end of 2020, Google Maps contained nearly 180,000 EV charging locations globally.",0.9431453347206116
15,Enable 5 GW of new carbon-free energy in our  key manufacturing regions by 2030.,0.9391345381736755
16,Tackle major sustainability problems,0.9242874383926392
17,"In 2020, 23% of components  used for server upgrades were refurbished inventory.",0.9105835556983948
18,"In 2020, we achieved certification to the UL 2799 Zero Waste to Landfill certification standard for several final assembly manufacturing sites.",0.9052348136901855
19,Operate on carbon-free energy 24/7 by 2030.,0.874605655670166
20,Eliminate plastic from packaging and make packaging 100% recyclable by 2025.,0.8492055535316467
21,Maintain carbon neutrality for our operations.,0.8457525968551636
22,Match 100% of the electricity consumption of our operations with renewable energy purchases.,0.8210346698760986
23,Reduce single-occupancy vehicle commuting at  our Bay Area headquarters12 to 45% of workers commuting on any given day.,0.5749769806861877
24,Help more than 500 cities and local governments globally reduce an aggregate of 1 gigaton of  carbon emissions annually by 2030.,0.4736623167991638
25,Provide EV charging stations for 10% of total  parking spaces at our Bay Area headquarters.,0.38298702239990234
26,Compensate for our legacy carbon footprint since  our founding through high-quality carbon credits.,0.3737878203392029
27,to empower everyone with technology by committing to help 1 billion people,0.3689115047454834
28,"In 2020, we designed Pixel and Nest packaging to minimize the use of plastic.",0.34454798698425293
29,Minimum percentage of recycled or renewable plastic content calculated as a percentage of total plastic (by weight) in all products manufactured in 2025.,0.3368268609046936
30,"In 2020, cities around the world had started using the Environmental Insights Explorer tool for their climate action planning efforts.",0.3087683320045471
31,move the world closer to a more sustainable and carbon-free future for all.,0.13050204515457153
32,Help 1 billion people make more sustainable choices through our core products by 2022.,0.12641535699367523
33,"In 2020, we wiped clean and resold nearly 8.2 million components into the secondary market for reuse  by other organizations.",0.11896486580371857
34,"In 2020, Google.org launched the Impact Challenge on Climate, committing €10 million to fund bold ideas that aim to use technology to accelerate Europe’s progress toward a greener, more resilient future.",0.11344538629055023
35,"From 2011 to 2020, our carbon intensity per unit of revenue  decreased by 87%.",0.1095527857542038
36,Google Environmental Report 2021,0.1075521931052208
