Image Name,BLIP Caption,Goal_1,Goal_2,Goal_3,TF-IDF_Goal_1,TF-IDF_Goal_2,TF-IDF_Goal_3,SBERT_Goal_1,SBERT_Goal_2,SBERT_Goal_3,Image-Goal_1,Image-Goal_2,Image-Goal_3,Goal 1 Label,Goal 2 Label,Goal 3 Label
0.jpg,a large server room with many servers,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,0.21247405,0.06929359,0.17073984,0.30517578125,0.22265625,0.20947265625,1,0,0
1.jpg,an island in the middle of the ocean,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.1523159638372664,-0.07271797,0.042983066,0.17462929,0.1793212890625,0.219970703125,0.1741943359375,0,0,1
2.jpg,google headquarters in san,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0997523648960143,0.0,0.0794683419070027,0.31467253,0.096971765,0.2158543,0.327880859375,0.2164306640625,0.22900390625,0,0,0
3.jpg,the wind farm in the netherlands,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.1123852069041855,-0.0031004064,0.22008367,0.21761566,0.2489013671875,0.273681640625,0.21728515625,1,1,1
4.jpg,a man and his dog on a bridge,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,-0.06381851,-0.039166156,0.030755524,0.1953125,0.22998046875,0.21533203125,0,1,0
5.jpg,a long row of wine bottles,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0665708654513607,-0.06502729,-0.0064777937,0.12075875,0.301025390625,0.2230224609375,0.2161865234375,1,0,0
6.jpg,a large parking lot with a lot of cars parked on it,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0419804617469007,0.07500841,0.0537905,0.12229276,0.285888671875,0.266357421875,0.248291015625,0,0,0
7.jpg,a large room filled with lots of wires,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,0.05620457,0.019271825,0.13566515,0.28369140625,0.218994140625,0.2010498046875,1,0,0
8.jpg,a large array of solar panels in a desert,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,0.033973493,0.20640005,0.18170846,0.22998046875,0.265869140625,0.2230224609375,1,0,0
9.jpg,a wind turbine at night,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0633526473635107,0.0,0.0505954921491491,-0.100936204,0.065284744,0.117717266,0.222412109375,0.277099609375,0.2030029296875,1,0,0
