Text Blocks,Goal Score
"Minimize our impacts across Citi’s entire portfolio of 7,500 owned and leased facilities",0.988417685
30% reduction in water consumption (compared with 2005 baseline),0.981054008
30% reduction in water consumption (compared with 2005 baseline),0.981054008
"Align compensation programs, structures and decisions with stockholder and other stakeholder interests",0.979506612
30% reduction in energy consumption (compared with 2005 baseline),0.976068079
30% reduction in energy consumption (compared with 2005 baseline),0.976068079
Manage environmental and social risks and impacts associated with client transactions and our  financial products and services,0.969115436
100% use of renewable energy for facilities globally,0.967388988
100% use of renewable energy for facilities globally,0.967388988
60% diversion rate of waste to landfill (compared with 2005 baseline),0.966762722
60% diversion rate of waste to landfill (compared with 2005 baseline),0.966762722
10% of water used coming from reclaimed or recycled sources,0.962617159
2020 Operational Footprint Goals: 2018 Progress,0.961324036
2020 Operational Footprint Goals: 2018 Progress,0.961324036
"Our $100 Billion Environmental Finance Goal: To lend, invest and facilitate $100 billion over 10 years  toward activities that reduce the impacts of climate change and create environmental solutions",0.958041549
"Through our partnership with Deque University, all Citi employees have access to more than 25 digital accessibility courses.",0.939706206
Work with our suppliers to ensure that they meet high environmental and social standards,0.937912226
Improve Habitat Conservation and Labor Conditions in the Palm Oil Industry,0.933114946
Improve Habitat Conservation and Labor Conditions in the Palm Oil Industry,0.933114946
100% of Enterprise Supply Chain (ESC) employees complete training,0.918367147
have an undisclosed nexus to countries such as North Korea.,0.913589776
"The aim is to reach 10,000 former service members and their families in the first two years.",0.892201126
Progress Against 2020 Goals,0.818585813
Establish supply chain policies:,0.748120666
pay for U.S. minorities is 93 percent of the median for non-minorities.,0.553292334
"The Foundation is working to reduce youth unem-ployment by partnering with community organiza-tions and municipal leaders to connect 500,000 young people around the world to jobs, paid internships, workforce training and leadership devel-opment by 2020.",0.393267214
"For example, target 7.2, to increase the share of renewable energy in the global energy mix by 2030, and target 7.3, to double the global rate of energy efficiency improvements by 2030, are both directly aligned with the objectives of our $100 billion goal.",0.340907216
"In addition, global green finance must reach $1 trillion by the end of 2020, growing each year thereafter.",0.32406342
100% of suppliers complete the CRQ,0.284973443
100% of suppliers  complete training,0.263495654
"We will also continue to work toward meeting our goal to use 100 percent renewable energy for our facilities by securing renewable energy contracts, incorporating on-site generation and looking for innovative solutions where renewable power is not readily available.",0.191970915
Supplier Principles inte-grated into 100% of master contracts for suppliers,0.155593961
"Indonesia has committed to reduce greenhouse gas emissions by 29 percent by 2030 and has pledged to make renewable energy one- quarter of its energy mix by 2025, double what it is today.",0.14508599
Learn more about our $100 billion goal in the Environmental Finance section.,0.138213262
We strive to earn and maintain the public’s trust by constantly adhering to the highest ethical standards.,0.123437479
10% of water used coming from recycled/reclaimed sources,0.113663815
Citi has established a goal to transition to using 100 percent renewable energy for our facilities by 2020.,0.113292031
"A $1.6 million grant to Youth Business International (YBI) is providing 8,700 youth in Europe with entrepreneurship training and will establish more than 1,000 mentoring relationships across eight countries.",0.110147312
"Close to 900 Green Team members participated, committing to actions such as reducing the amount of energy they used, using public transit to get to work and recycling water bottles.",0.104677059
